Station;year;month;day;601;pc
3427050;2016;4;28;0;24
3427050;2016;4;29;0;24
3427050;2016;4;30;0;24
3427050;2016;5;1;0;24
3427050;2016;5;2;0;24
3427050;2016;5;3;0;24
3427050;2016;5;4;0;24
3427050;2016;5;5;0;24
3427050;2016;5;6;0;24
3427050;2016;5;7;0,5;24
3427050;2016;5;8;0;24
3427050;2016;5;9;0,1;24
3427050;2016;5;10;1,3;24
3427050;2016;5;11;0;24
3427050;2016;5;12;0;24
3427050;2016;5;13;0;24
3427050;2016;5;14;0;24
3427050;2016;5;15;0;24
3427050;2016;5;16;0;24
3427050;2016;5;17;0;24
3427050;2016;5;18;0;24
3427050;2016;5;19;0;24
3427050;2016;5;20;8,7;24
3427050;2016;5;21;1,3;24
3427050;2016;5;22;0,6;24
3427050;2016;5;23;3,8;24
3427050;2016;5;24;1,3;24
3427050;2016;5;25;0;24
3427050;2016;5;26;0;24
3427050;2016;5;27;0;24
3427050;2016;5;28;0;24
3427050;2016;5;29;0;24
3427050;2016;5;30;1;24
3427050;2016;5;31;5,4;24
3427050;2016;6;1;1,4;24
3427050;2016;6;2;0;24
3427050;2016;6;3;0;24
3427050;2016;6;4;0;24
3427050;2016;6;5;0;24
3427050;2016;6;6;0;24
3427050;2016;6;7;0;24
3427050;2016;6;8;0;24
3427050;2016;6;9;0;24
3427050;2016;6;10;0;24
